Height_cm,Leaf_Count,New_Growth_Count,Watering_Amount_ml,Watering_Frequency_days,Room_Temperature_C,Humidity_%,Fertilizer_Amount_ml,Soil_Moisture_%,Health_Score,Sunlight_Exposure_6h full sun,Sunlight_Exposure_Filtered sunlight through curtain,Sunlight_Exposure_Indirect light all day,Sunlight_Exposure_Low light corner,Fertilizer_Type_Compost,Fertilizer_Type_Liquid feed,Fertilizer_Type_Organic,Pest_Presence_Fungus gnats,Pest_Presence_Spider mites,Pest_Presence_Whiteflies,Pest_Severity_Low,Pest_Severity_Moderate,Soil_Type_Clay,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Sandy,Soil_Type_Silty
-0.8306380555420467,-0.7916939788737645,1.2219404148771422,-0.5978765248671083,-0.2416482743643447,-0.7228687647309149,1.583052127325861,1.1815570376156321,1.1875915349151782,-1.436916932176945,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False
-1.5811194968018993,0.3046446070696392,1.5734134836404008,-0.7100043174825774,-1.3820890512205324,-0.43124495913429506,0.9853845316943567,1.4968667804326043,-0.44966976324688873,-0.7313649055990439,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
-0.5890923731233128,1.0094336980332559,1.2219404148771422,1.580606303090578,0.8987925024918431,-2.180987792714011,-0.7242227767399486,1.4618323645640519,-1.4582779891188793,-1.436916932176945,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1.126577782657489,-1.261553372849509,-1.2383710664656686,-0.5818582687791841,-1.3820890512205324,0.34641852245668886,1.214722097459934,0.9713505424043175,0.25497433975957046,0.6797391475567583,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
-2.265001922744652,-0.08690488791014783,-0.5354249289391512,1.484496766563033,-0.8118686627924385,-0.23682908873654968,-0.2169002827736709,-0.39499167646922867,0.22043296216121458,-1.436916932176945,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
-1.1049862380423372,-1.0266236758616367,0.5189942773506249,0.7636752426064456,1.469012890919937,0.9620687787162178,1.159125111819794,-0.21981959712646634,1.2290411880332053,0.6797391475567583,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
-0.20043244791456793,1.2443633950211281,-1.2383710664656686,1.1240860045847394,-1.3820890512205324,-1.0468952153938251,1.1382762422047408,-0.9905767462346206,1.7333453009692006,-1.436916932176945,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
-0.9459438134044876,-0.6350741808818496,-1.5898441352289272,0.9078395473977631,0.3285721140637492,-0.5932581844657502,-1.064754313785806,1.4618323645640519,0.04772607416943536,-1.436916932176945,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
-0.5980385095091918,-0.6350741808818496,-0.8868979977024098,0.2510910477928724,-1.3820890512205324,-1.4357269561893171,0.721298849903691,0.4458343043760305,-0.5118442429239292,1.3852911741346594,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
-0.5831282821993935,-1.4964830698373812,-0.5354249289391512,0.41928273671607613,-0.2416482743643447,-0.9496872801949519,-0.7103235303299134,-0.11471634952080896,-1.0645062844976227,-0.7313649055990439,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
-0.33064843308680714,0.6961941020494262,0.8704673461138835,0.8597847791339907,-1.3820890512205324,-1.1117005055264069,-0.6825250375098435,0.7261096313244502,-1.6931593567876992,-0.7313649055990439,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False
-0.7988295706144768,-0.008594988914190419,0.16752120858736616,0.9078395473977631,1.469012890919937,0.9944714237825092,-0.6894746607148611,-0.39499167646922867,0.05463434968910663,-0.025812879021142748,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
-0.8803388132413748,-1.3398632718454664,-1.2383710664656686,-0.013210177657876306,-0.8118686627924385,-0.6580634745983331,0.8046943283639011,-0.009613101915151561,0.2135246866415433,1.3852911741346594,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
0.8542176304651722,0.06971491008176699,1.2219404148771422,1.1641316448045498,-1.3820890512205324,0.1520026520589423,-0.9188122264804384,0.9012817106672125,1.1392336062774804,1.3852911741346594,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True
0.9695233883276128,-0.24352468590206264,-1.2383710664656686,0.39525535258418987,0.3285721140637492,-0.33403702393542295,-1.7180188950574506,1.1114882058785274,0.03390952313009332,-0.7313649055990439,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-1.4469274510137138,1.0877435970292133,-0.18395186017589252,1.0199673400132323,0.8987925024918431,-1.2089084407252801,0.7699462123388137,-0.35995726060067623,1.4570142801823538,1.3852911741346594,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.9824455853294383,-0.8700038778697219,0.5189942773506249,-0.5017669883395633,-1.3820890512205324,0.6056396829870172,-1.3566384883965406,-0.6752670034176483,1.1944998104348494,1.3852911741346594,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
-1.2958371476077566,0.7745040010453836,0.8704673461138835,-1.4708714816589752,-0.2416482743643447,-1.1441031505926984,-0.8910137336603685,-0.9905767462346206,-1.195763519371375,-1.436916932176945,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False
